encoded_yuv,fps,start,end,ref_yuv
1080p_9M_football8_4k.yuv,50.0,0,50,4k_ref_football8_4k.yuv
4k_3M_football1_4k.yuv,50.0,0,50,4k_ref_football1_4k.yuv
540p_2.2M_football4_4k.yuv,50.0,0,50,4k_ref_football4_4k.yuv
1080p_1M_football2_4k.yuv,50.0,0,50,4k_ref_football2_4k.yuv
4k_3M_Light4_4k.yuv,59.94005994005994,0,50,4k_ref_Light4_4k.yuv
1080p_9M_Bonfire_4k.yuv,60.0,0,50,4k_ref_Bonfire_4k.yuv
720p_4.6M_Skyscraper_4k.yuv,60.0,0,50,4k_ref_Skyscraper_4k.yuv
1080p_6M_football8_4k.yuv,50.0,0,50,4k_ref_football8_4k.yuv
720p_2.6M_football7_4k.yuv,50.0,0,50,4k_ref_football7_4k.yuv
1080p_9M_Furniture_4k.yuv,60.0,0,50,4k_ref_Furniture_4k.yuv
720p_2.6M_golf2_4k.yuv,50.0,0,50,4k_ref_golf2_4k.yuv
1080p_9M_football5_4k.yuv,50.0,0,50,4k_ref_football5_4k.yuv
1080p_9M_CenterPanorama_4k.yuv,60.0,0,50,4k_ref_CenterPanorama_4k.yuv
1080p_6M_golf1_4k.yuv,50.0,0,50,4k_ref_golf1_4k.yuv
1080p_9M_football7_4k.yuv,50.0,0,50,4k_ref_football7_4k.yuv
4k_ref_Chasing3_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing3_4k.yuv
4k_6M_football3_4k.yuv,50.0,0,50,4k_ref_football3_4k.yuv
720p_4.6M_Light3_4k.yuv,59.94005994005994,0,50,4k_ref_Light3_4k.yuv
4k_ref_Flowers_4k.yuv,60.0,0,50,4k_ref_Flowers_4k.yuv
720p_4.6M_Light4_4k.yuv,59.94005994005994,0,50,4k_ref_Light4_4k.yuv
1080p_9M_OfficeBuilding_4k.yuv,60.0,0,50,4k_ref_OfficeBuilding_4k.yuv
4k_3M_CenterPanorama_4k.yuv,60.0,0,50,4k_ref_CenterPanorama_4k.yuv
4k_15M_NighTraffic_4k.yuv,60.0,0,50,4k_ref_NighTraffic_4k.yuv
1080p_9M_Chasing1_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing1_4k.yuv
540p_2.2M_football2_4k.yuv,50.0,0,50,4k_ref_football2_4k.yuv
4k_ref_Light2_4k.yuv,59.94005994005994,0,50,4k_ref_Light2_4k.yuv
4k_6M_Chasing3_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing3_4k.yuv
1080p_6M_Light4_4k.yuv,59.94005994005994,0,50,4k_ref_Light4_4k.yuv
1080p_1M_football9_4k.yuv,50.0,0,50,4k_ref_football9_4k.yuv
4k_3M_Flowers_4k.yuv,60.0,0,50,4k_ref_Flowers_4k.yuv
1080p_6M_football5_4k.yuv,50.0,0,50,4k_ref_football5_4k.yuv
1080p_1M_football8_4k.yuv,50.0,0,50,4k_ref_football8_4k.yuv
1080p_9M_football3_4k.yuv,50.0,0,50,4k_ref_football3_4k.yuv
720p_2.6M_CenterPanorama_4k.yuv,60.0,0,50,4k_ref_CenterPanorama_4k.yuv
540p_2.2M_football6_4k.yuv,50.0,0,50,4k_ref_football6_4k.yuv
720p_4.6M_Flowers_4k.yuv,60.0,0,50,4k_ref_Flowers_4k.yuv
720p_4.6M_golf1_4k.yuv,50.0,0,50,4k_ref_golf1_4k.yuv
720p_4.6M_UrbanLandmark_4k.yuv,60.0,0,50,4k_ref_UrbanLandmark_4k.yuv
540p_2.2M_football8_4k.yuv,50.0,0,50,4k_ref_football8_4k.yuv
4k_ref_Furniture_4k.yuv,60.0,0,50,4k_ref_Furniture_4k.yuv
1080p_6M_Light3_4k.yuv,59.94005994005994,0,50,4k_ref_Light3_4k.yuv
720p_2.6M_Porsche_4k.yuv,60.0,0,50,4k_ref_Porsche_4k.yuv
1080p_1M_football5_4k.yuv,50.0,0,50,4k_ref_football5_4k.yuv
720p_4.6M_football2_4k.yuv,50.0,0,50,4k_ref_football2_4k.yuv
1080p_9M_football10_4k.yuv,50.0,0,50,4k_ref_football10_4k.yuv
4k_15M_Chasing1_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing1_4k.yuv
1080p_6M_football3_4k.yuv,50.0,0,50,4k_ref_football3_4k.yuv
4k_3M_Chasing4_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing4_4k.yuv
720p_4.6M_CargoBoat_4k.yuv,60.0,0,50,4k_ref_CargoBoat_4k.yuv
720p_2.6M_Light2_4k.yuv,59.94005994005994,0,50,4k_ref_Light2_4k.yuv
1080p_9M_Flowers_4k.yuv,60.0,0,50,4k_ref_Flowers_4k.yuv
720p_2.6M_NighTraffic_4k.yuv,60.0,0,50,4k_ref_NighTraffic_4k.yuv
720p_4.6M_football6_4k.yuv,50.0,0,50,4k_ref_football6_4k.yuv
1080p_1M_Flowers_4k.yuv,60.0,0,50,4k_ref_Flowers_4k.yuv
720p_2.6M_CourtYard_4k.yuv,60.0,0,50,4k_ref_CourtYard_4k.yuv
4k_6M_Furniture_4k.yuv,60.0,0,50,4k_ref_Furniture_4k.yuv
4k_15M_UrbanLandmark_4k.yuv,60.0,0,50,4k_ref_UrbanLandmark_4k.yuv
4k_15M_CourtYard_4k.yuv,60.0,0,50,4k_ref_CourtYard_4k.yuv
4k_15M_Light3_4k.yuv,59.94005994005994,0,50,4k_ref_Light3_4k.yuv
4k_6M_Flowers_4k.yuv,60.0,0,50,4k_ref_Flowers_4k.yuv
4k_ref_Bonfire_4k.yuv,60.0,0,50,4k_ref_Bonfire_4k.yuv
720p_2.6M_Skyscraper_4k.yuv,60.0,0,50,4k_ref_Skyscraper_4k.yuv
4k_6M_Porsche_4k.yuv,60.0,0,50,4k_ref_Porsche_4k.yuv
540p_2.2M_Skyscraper_4k.yuv,60.0,0,50,4k_ref_Skyscraper_4k.yuv
1080p_1M_golf1_4k.yuv,50.0,0,50,4k_ref_golf1_4k.yuv
1080p_9M_Chasing3_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing3_4k.yuv
540p_2.2M_Chasing4_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing4_4k.yuv
4k_3M_Furniture_4k.yuv,60.0,0,50,4k_ref_Furniture_4k.yuv
4k_3M_Skyscraper_4k.yuv,60.0,0,50,4k_ref_Skyscraper_4k.yuv
4k_ref_golf2_4k.yuv,50.0,0,50,4k_ref_golf2_4k.yuv
720p_4.6M_CenterPanorama_4k.yuv,60.0,0,50,4k_ref_CenterPanorama_4k.yuv
540p_2.2M_football10_4k.yuv,50.0,0,50,4k_ref_football10_4k.yuv
1080p_1M_football7_4k.yuv,50.0,0,50,4k_ref_football7_4k.yuv
4k_ref_Skyscraper_4k.yuv,60.0,0,50,4k_ref_Skyscraper_4k.yuv
4k_3M_football4_4k.yuv,50.0,0,50,4k_ref_football4_4k.yuv
720p_4.6M_Light2_4k.yuv,59.94005994005994,0,50,4k_ref_Light2_4k.yuv
4k_6M_football4_4k.yuv,50.0,0,50,4k_ref_football4_4k.yuv
540p_2.2M_Light3_4k.yuv,59.94005994005994,0,50,4k_ref_Light3_4k.yuv
720p_2.6M_football2_4k.yuv,50.0,0,50,4k_ref_football2_4k.yuv
1080p_9M_Daylight1_4k.yuv,59.94005994005994,0,50,4k_ref_Daylight1_4k.yuv
1080p_1M_Light2_4k.yuv,59.94005994005994,0,50,4k_ref_Light2_4k.yuv
4k_ref_CourtYard_4k.yuv,60.0,0,50,4k_ref_CourtYard_4k.yuv
4k_3M_Porsche_4k.yuv,60.0,0,50,4k_ref_Porsche_4k.yuv
1080p_9M_NighTraffic_4k.yuv,60.0,0,50,4k_ref_NighTraffic_4k.yuv
1080p_6M_football4_4k.yuv,50.0,0,50,4k_ref_football4_4k.yuv
720p_4.6M_Chasing1_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing1_4k.yuv
4k_3M_football6_4k.yuv,50.0,0,50,4k_ref_football6_4k.yuv
540p_2.2M_football5_4k.yuv,50.0,0,50,4k_ref_football5_4k.yuv
4k_6M_NighTraffic_4k.yuv,60.0,0,50,4k_ref_NighTraffic_4k.yuv
1080p_6M_Chasing3_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing3_4k.yuv
4k_3M_NighTraffic_4k.yuv,60.0,0,50,4k_ref_NighTraffic_4k.yuv
4k_ref_football4_4k.yuv,50.0,0,50,4k_ref_football4_4k.yuv
1080p_6M_Porsche_4k.yuv,60.0,0,50,4k_ref_Porsche_4k.yuv
720p_4.6M_football1_4k.yuv,50.0,0,50,4k_ref_football1_4k.yuv
4k_ref_CenterPanorama_4k.yuv,60.0,0,50,4k_ref_CenterPanorama_4k.yuv
540p_2.2M_OfficeBuilding_4k.yuv,60.0,0,50,4k_ref_OfficeBuilding_4k.yuv
540p_2.2M_football9_4k.yuv,50.0,0,50,4k_ref_football9_4k.yuv
720p_2.6M_football3_4k.yuv,50.0,0,50,4k_ref_football3_4k.yuv
1080p_9M_CargoBoat_4k.yuv,60.0,0,50,4k_ref_CargoBoat_4k.yuv
1080p_1M_Chasing1_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing1_4k.yuv
540p_2.2M_Porsche_4k.yuv,60.0,0,50,4k_ref_Porsche_4k.yuv
4k_6M_football8_4k.yuv,50.0,0,50,4k_ref_football8_4k.yuv
4k_ref_CargoBoat_4k.yuv,60.0,0,50,4k_ref_CargoBoat_4k.yuv
4k_15M_football5_4k.yuv,50.0,0,50,4k_ref_football5_4k.yuv
4k_ref_football5_4k.yuv,50.0,0,50,4k_ref_football5_4k.yuv
1080p_1M_football4_4k.yuv,50.0,0,50,4k_ref_football4_4k.yuv
720p_2.6M_Flowers_4k.yuv,60.0,0,50,4k_ref_Flowers_4k.yuv
540p_2.2M_CenterPanorama_4k.yuv,60.0,0,50,4k_ref_CenterPanorama_4k.yuv
4k_15M_football10_4k.yuv,50.0,0,50,4k_ref_football10_4k.yuv
1080p_9M_CourtYard_4k.yuv,60.0,0,50,4k_ref_CourtYard_4k.yuv
1080p_1M_OfficeBuilding_4k.yuv,60.0,0,50,4k_ref_OfficeBuilding_4k.yuv
4k_3M_football3_4k.yuv,50.0,0,50,4k_ref_football3_4k.yuv
1080p_1M_Skyscraper_4k.yuv,60.0,0,50,4k_ref_Skyscraper_4k.yuv
4k_15M_firework_4k.yuv,60.0,0,50,4k_ref_firework_4k.yuv
1080p_1M_CenterPanorama_4k.yuv,60.0,0,50,4k_ref_CenterPanorama_4k.yuv
540p_2.2M_Furniture_4k.yuv,60.0,0,50,4k_ref_Furniture_4k.yuv
4k_3M_golf2_4k.yuv,50.0,0,50,4k_ref_golf2_4k.yuv
720p_4.6M_football9_4k.yuv,50.0,0,50,4k_ref_football9_4k.yuv
720p_2.6M_Bonfire_4k.yuv,60.0,0,50,4k_ref_Bonfire_4k.yuv
1080p_1M_football1_4k.yuv,50.0,0,50,4k_ref_football1_4k.yuv
4k_3M_Chasing3_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing3_4k.yuv
1080p_9M_Skyscraper_4k.yuv,60.0,0,50,4k_ref_Skyscraper_4k.yuv
4k_6M_golf2_4k.yuv,50.0,0,50,4k_ref_golf2_4k.yuv
4k_3M_Daylight1_4k.yuv,59.94005994005994,0,50,4k_ref_Daylight1_4k.yuv
4k_15M_Flowers_4k.yuv,60.0,0,50,4k_ref_Flowers_4k.yuv
4k_ref_NighTraffic_4k.yuv,60.0,0,50,4k_ref_NighTraffic_4k.yuv
4k_15M_football1_4k.yuv,50.0,0,50,4k_ref_football1_4k.yuv
1080p_6M_football6_4k.yuv,50.0,0,50,4k_ref_football6_4k.yuv
720p_4.6M_football7_4k.yuv,50.0,0,50,4k_ref_football7_4k.yuv
720p_4.6M_OfficeBuilding_4k.yuv,60.0,0,50,4k_ref_OfficeBuilding_4k.yuv
1080p_1M_football10_4k.yuv,50.0,0,50,4k_ref_football10_4k.yuv
1080p_1M_CourtYard_4k.yuv,60.0,0,50,4k_ref_CourtYard_4k.yuv
4k_ref_football7_4k.yuv,50.0,0,50,4k_ref_football7_4k.yuv
4k_3M_Light3_4k.yuv,59.94005994005994,0,50,4k_ref_Light3_4k.yuv
540p_2.2M_UrbanLandmark_4k.yuv,60.0,0,50,4k_ref_UrbanLandmark_4k.yuv
4k_ref_football1_4k.yuv,50.0,0,50,4k_ref_football1_4k.yuv
4k_15M_Chasing4_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing4_4k.yuv
4k_6M_Daylight1_4k.yuv,59.94005994005994,0,50,4k_ref_Daylight1_4k.yuv
1080p_1M_Furniture_4k.yuv,60.0,0,50,4k_ref_Furniture_4k.yuv
4k_6M_CourtYard_4k.yuv,60.0,0,50,4k_ref_CourtYard_4k.yuv
540p_2.2M_Light4_4k.yuv,59.94005994005994,0,50,4k_ref_Light4_4k.yuv
4k_15M_Daylight1_4k.yuv,59.94005994005994,0,50,4k_ref_Daylight1_4k.yuv
4k_15M_golf1_4k.yuv,50.0,0,50,4k_ref_golf1_4k.yuv
720p_2.6M_Chasing3_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing3_4k.yuv
1080p_9M_football4_4k.yuv,50.0,0,50,4k_ref_football4_4k.yuv
1080p_6M_football7_4k.yuv,50.0,0,50,4k_ref_football7_4k.yuv
4k_3M_football7_4k.yuv,50.0,0,50,4k_ref_football7_4k.yuv
1080p_1M_NighTraffic_4k.yuv,60.0,0,50,4k_ref_NighTraffic_4k.yuv
4k_15M_OfficeBuilding_4k.yuv,60.0,0,50,4k_ref_OfficeBuilding_4k.yuv
4k_ref_football10_4k.yuv,50.0,0,50,4k_ref_football10_4k.yuv
4k_15M_football9_4k.yuv,50.0,0,50,4k_ref_football9_4k.yuv
4k_3M_firework_4k.yuv,60.0,0,50,4k_ref_firework_4k.yuv
4k_15M_Light2_4k.yuv,59.94005994005994,0,50,4k_ref_Light2_4k.yuv
540p_2.2M_Daylight1_4k.yuv,59.94005994005994,0,50,4k_ref_Daylight1_4k.yuv
