encoded_yuv,fps,start,end,ref_yuv
720p_2.6M_Furniture_4k.yuv,60.0,0,50,4k_ref_Furniture_4k.yuv
4k_6M_football5_4k.yuv,50.0,0,50,4k_ref_football5_4k.yuv
4k_ref_Porsche_4k.yuv,60.0,0,50,4k_ref_Porsche_4k.yuv
1080p_6M_Daylight1_4k.yuv,59.94005994005994,0,50,4k_ref_Daylight1_4k.yuv
4k_ref_football2_4k.yuv,50.0,0,50,4k_ref_football2_4k.yuv
4k_6M_Light4_4k.yuv,59.94005994005994,0,50,4k_ref_Light4_4k.yuv
720p_4.6M_Daylight1_4k.yuv,59.94005994005994,0,50,4k_ref_Daylight1_4k.yuv
4k_15M_football6_4k.yuv,50.0,0,50,4k_ref_football6_4k.yuv
4k_6M_golf1_4k.yuv,50.0,0,50,4k_ref_golf1_4k.yuv
4k_ref_football9_4k.yuv,50.0,0,50,4k_ref_football9_4k.yuv
1080p_1M_Light3_4k.yuv,59.94005994005994,0,50,4k_ref_Light3_4k.yuv
720p_2.6M_football10_4k.yuv,50.0,0,50,4k_ref_football10_4k.yuv
720p_4.6M_football5_4k.yuv,50.0,0,50,4k_ref_football5_4k.yuv
4k_15M_golf2_4k.yuv,50.0,0,50,4k_ref_golf2_4k.yuv
1080p_9M_football6_4k.yuv,50.0,0,50,4k_ref_football6_4k.yuv
540p_2.2M_football3_4k.yuv,50.0,0,50,4k_ref_football3_4k.yuv
1080p_6M_firework_4k.yuv,60.0,0,50,4k_ref_firework_4k.yuv
540p_2.2M_NighTraffic_4k.yuv,60.0,0,50,4k_ref_NighTraffic_4k.yuv
720p_2.6M_firework_4k.yuv,60.0,0,50,4k_ref_firework_4k.yuv
1080p_6M_Skyscraper_4k.yuv,60.0,0,50,4k_ref_Skyscraper_4k.yuv
1080p_6M_football2_4k.yuv,50.0,0,50,4k_ref_football2_4k.yuv
720p_4.6M_Bonfire_4k.yuv,60.0,0,50,4k_ref_Bonfire_4k.yuv
720p_2.6M_golf1_4k.yuv,50.0,0,50,4k_ref_golf1_4k.yuv
540p_2.2M_football1_4k.yuv,50.0,0,50,4k_ref_football1_4k.yuv
1080p_6M_football10_4k.yuv,50.0,0,50,4k_ref_football10_4k.yuv
1080p_9M_Chasing4_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing4_4k.yuv
720p_4.6M_football4_4k.yuv,50.0,0,50,4k_ref_football4_4k.yuv
1080p_6M_Bonfire_4k.yuv,60.0,0,50,4k_ref_Bonfire_4k.yuv
1080p_1M_CargoBoat_4k.yuv,60.0,0,50,4k_ref_CargoBoat_4k.yuv
1080p_6M_CargoBoat_4k.yuv,60.0,0,50,4k_ref_CargoBoat_4k.yuv
720p_2.6M_football1_4k.yuv,50.0,0,50,4k_ref_football1_4k.yuv
4k_6M_CargoBoat_4k.yuv,60.0,0,50,4k_ref_CargoBoat_4k.yuv
720p_2.6M_OfficeBuilding_4k.yuv,60.0,0,50,4k_ref_OfficeBuilding_4k.yuv
540p_2.2M_football7_4k.yuv,50.0,0,50,4k_ref_football7_4k.yuv
4k_15M_Bonfire_4k.yuv,60.0,0,50,4k_ref_Bonfire_4k.yuv
4k_3M_CourtYard_4k.yuv,60.0,0,50,4k_ref_CourtYard_4k.yuv
720p_4.6M_firework_4k.yuv,60.0,0,50,4k_ref_firework_4k.yuv
1080p_6M_CourtYard_4k.yuv,60.0,0,50,4k_ref_CourtYard_4k.yuv
1080p_9M_firework_4k.yuv,60.0,0,50,4k_ref_firework_4k.yuv
540p_2.2M_Chasing1_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing1_4k.yuv
1080p_1M_UrbanLandmark_4k.yuv,60.0,0,50,4k_ref_UrbanLandmark_4k.yuv
4k_6M_football7_4k.yuv,50.0,0,50,4k_ref_football7_4k.yuv
1080p_9M_Porsche_4k.yuv,60.0,0,50,4k_ref_Porsche_4k.yuv
4k_6M_Chasing4_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing4_4k.yuv
1080p_6M_CenterPanorama_4k.yuv,60.0,0,50,4k_ref_CenterPanorama_4k.yuv
4k_ref_Daylight1_4k.yuv,59.94005994005994,0,50,4k_ref_Daylight1_4k.yuv
720p_2.6M_CargoBoat_4k.yuv,60.0,0,50,4k_ref_CargoBoat_4k.yuv
540p_2.2M_Flowers_4k.yuv,60.0,0,50,4k_ref_Flowers_4k.yuv
540p_2.2M_firework_4k.yuv,60.0,0,50,4k_ref_firework_4k.yuv
1080p_6M_UrbanLandmark_4k.yuv,60.0,0,50,4k_ref_UrbanLandmark_4k.yuv
4k_ref_football6_4k.yuv,50.0,0,50,4k_ref_football6_4k.yuv
720p_2.6M_Light4_4k.yuv,59.94005994005994,0,50,4k_ref_Light4_4k.yuv
720p_2.6M_UrbanLandmark_4k.yuv,60.0,0,50,4k_ref_UrbanLandmark_4k.yuv
1080p_6M_Chasing1_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing1_4k.yuv
540p_2.2M_Bonfire_4k.yuv,60.0,0,50,4k_ref_Bonfire_4k.yuv
1080p_1M_Chasing3_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing3_4k.yuv
1080p_9M_Light2_4k.yuv,59.94005994005994,0,50,4k_ref_Light2_4k.yuv
4k_15M_football3_4k.yuv,50.0,0,50,4k_ref_football3_4k.yuv
1080p_6M_football9_4k.yuv,50.0,0,50,4k_ref_football9_4k.yuv
1080p_1M_Daylight1_4k.yuv,59.94005994005994,0,50,4k_ref_Daylight1_4k.yuv
4k_15M_football7_4k.yuv,50.0,0,50,4k_ref_football7_4k.yuv
4k_3M_football2_4k.yuv,50.0,0,50,4k_ref_football2_4k.yuv
1080p_9M_golf1_4k.yuv,50.0,0,50,4k_ref_golf1_4k.yuv
720p_4.6M_golf2_4k.yuv,50.0,0,50,4k_ref_golf2_4k.yuv
720p_4.6M_football3_4k.yuv,50.0,0,50,4k_ref_football3_4k.yuv
4k_6M_Light3_4k.yuv,59.94005994005994,0,50,4k_ref_Light3_4k.yuv
720p_4.6M_NighTraffic_4k.yuv,60.0,0,50,4k_ref_NighTraffic_4k.yuv
4k_6M_UrbanLandmark_4k.yuv,60.0,0,50,4k_ref_UrbanLandmark_4k.yuv
720p_2.6M_Daylight1_4k.yuv,59.94005994005994,0,50,4k_ref_Daylight1_4k.yuv
720p_2.6M_Light3_4k.yuv,59.94005994005994,0,50,4k_ref_Light3_4k.yuv
1080p_9M_football2_4k.yuv,50.0,0,50,4k_ref_football2_4k.yuv
720p_4.6M_football8_4k.yuv,50.0,0,50,4k_ref_football8_4k.yuv
1080p_6M_Chasing4_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing4_4k.yuv
4k_6M_football9_4k.yuv,50.0,0,50,4k_ref_football9_4k.yuv
1080p_1M_Chasing4_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing4_4k.yuv
4k_ref_football3_4k.yuv,50.0,0,50,4k_ref_football3_4k.yuv
720p_2.6M_Chasing4_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing4_4k.yuv
4k_3M_football10_4k.yuv,50.0,0,50,4k_ref_football10_4k.yuv
4k_ref_UrbanLandmark_4k.yuv,60.0,0,50,4k_ref_UrbanLandmark_4k.yuv
1080p_1M_Light4_4k.yuv,59.94005994005994,0,50,4k_ref_Light4_4k.yuv
1080p_6M_NighTraffic_4k.yuv,60.0,0,50,4k_ref_NighTraffic_4k.yuv
4k_6M_football6_4k.yuv,50.0,0,50,4k_ref_football6_4k.yuv
720p_2.6M_football8_4k.yuv,50.0,0,50,4k_ref_football8_4k.yuv
4k_6M_Bonfire_4k.yuv,60.0,0,50,4k_ref_Bonfire_4k.yuv
540p_2.2M_Chasing3_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing3_4k.yuv
1080p_6M_Furniture_4k.yuv,60.0,0,50,4k_ref_Furniture_4k.yuv
540p_2.2M_golf2_4k.yuv,50.0,0,50,4k_ref_golf2_4k.yuv
720p_2.6M_football5_4k.yuv,50.0,0,50,4k_ref_football5_4k.yuv
4k_ref_firework_4k.yuv,60.0,0,50,4k_ref_firework_4k.yuv
4k_ref_golf1_4k.yuv,50.0,0,50,4k_ref_golf1_4k.yuv
720p_4.6M_Porsche_4k.yuv,60.0,0,50,4k_ref_Porsche_4k.yuv
4k_6M_firework_4k.yuv,60.0,0,50,4k_ref_firework_4k.yuv
4k_ref_Chasing1_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing1_4k.yuv
1080p_1M_golf2_4k.yuv,50.0,0,50,4k_ref_golf2_4k.yuv
720p_2.6M_football6_4k.yuv,50.0,0,50,4k_ref_football6_4k.yuv
4k_3M_football8_4k.yuv,50.0,0,50,4k_ref_football8_4k.yuv
4k_15M_Light4_4k.yuv,59.94005994005994,0,50,4k_ref_Light4_4k.yuv
720p_4.6M_CourtYard_4k.yuv,60.0,0,50,4k_ref_CourtYard_4k.yuv
4k_6M_Light2_4k.yuv,59.94005994005994,0,50,4k_ref_Light2_4k.yuv
4k_3M_Bonfire_4k.yuv,60.0,0,50,4k_ref_Bonfire_4k.yuv
4k_ref_Light4_4k.yuv,59.94005994005994,0,50,4k_ref_Light4_4k.yuv
4k_3M_OfficeBuilding_4k.yuv,60.0,0,50,4k_ref_OfficeBuilding_4k.yuv
1080p_1M_Porsche_4k.yuv,60.0,0,50,4k_ref_Porsche_4k.yuv
540p_2.2M_CargoBoat_4k.yuv,60.0,0,50,4k_ref_CargoBoat_4k.yuv
4k_3M_UrbanLandmark_4k.yuv,60.0,0,50,4k_ref_UrbanLandmark_4k.yuv
1080p_6M_Light2_4k.yuv,59.94005994005994,0,50,4k_ref_Light2_4k.yuv
1080p_9M_football1_4k.yuv,50.0,0,50,4k_ref_football1_4k.yuv
4k_6M_OfficeBuilding_4k.yuv,60.0,0,50,4k_ref_OfficeBuilding_4k.yuv
4k_15M_CenterPanorama_4k.yuv,60.0,0,50,4k_ref_CenterPanorama_4k.yuv
720p_2.6M_Chasing1_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing1_4k.yuv
4k_6M_Skyscraper_4k.yuv,60.0,0,50,4k_ref_Skyscraper_4k.yuv
1080p_9M_golf2_4k.yuv,50.0,0,50,4k_ref_golf2_4k.yuv
4k_6M_Chasing1_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing1_4k.yuv
4k_15M_Chasing3_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing3_4k.yuv
4k_6M_football2_4k.yuv,50.0,0,50,4k_ref_football2_4k.yuv
1080p_6M_Flowers_4k.yuv,60.0,0,50,4k_ref_Flowers_4k.yuv
1080p_6M_golf2_4k.yuv,50.0,0,50,4k_ref_golf2_4k.yuv
540p_2.2M_Light2_4k.yuv,59.94005994005994,0,50,4k_ref_Light2_4k.yuv
1080p_1M_football6_4k.yuv,50.0,0,50,4k_ref_football6_4k.yuv
1080p_1M_firework_4k.yuv,60.0,0,50,4k_ref_firework_4k.yuv
1080p_6M_football1_4k.yuv,50.0,0,50,4k_ref_football1_4k.yuv
720p_4.6M_Furniture_4k.yuv,60.0,0,50,4k_ref_Furniture_4k.yuv
4k_6M_football10_4k.yuv,50.0,0,50,4k_ref_football10_4k.yuv
4k_3M_Chasing1_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing1_4k.yuv
540p_2.2M_CourtYard_4k.yuv,60.0,0,50,4k_ref_CourtYard_4k.yuv
1080p_9M_UrbanLandmark_4k.yuv,60.0,0,50,4k_ref_UrbanLandmark_4k.yuv
4k_15M_Furniture_4k.yuv,60.0,0,50,4k_ref_Furniture_4k.yuv
1080p_1M_Bonfire_4k.yuv,60.0,0,50,4k_ref_Bonfire_4k.yuv
4k_15M_Skyscraper_4k.yuv,60.0,0,50,4k_ref_Skyscraper_4k.yuv
4k_15M_football4_4k.yuv,50.0,0,50,4k_ref_football4_4k.yuv
4k_ref_football8_4k.yuv,50.0,0,50,4k_ref_football8_4k.yuv
1080p_9M_Light3_4k.yuv,59.94005994005994,0,50,4k_ref_Light3_4k.yuv
4k_3M_football9_4k.yuv,50.0,0,50,4k_ref_football9_4k.yuv
4k_15M_CargoBoat_4k.yuv,60.0,0,50,4k_ref_CargoBoat_4k.yuv
4k_15M_Porsche_4k.yuv,60.0,0,50,4k_ref_Porsche_4k.yuv
4k_3M_Light2_4k.yuv,59.94005994005994,0,50,4k_ref_Light2_4k.yuv
4k_3M_CargoBoat_4k.yuv,60.0,0,50,4k_ref_CargoBoat_4k.yuv
4k_6M_football1_4k.yuv,50.0,0,50,4k_ref_football1_4k.yuv
4k_ref_Chasing4_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing4_4k.yuv
1080p_6M_OfficeBuilding_4k.yuv,60.0,0,50,4k_ref_OfficeBuilding_4k.yuv
4k_3M_golf1_4k.yuv,50.0,0,50,4k_ref_golf1_4k.yuv
1080p_9M_Light4_4k.yuv,59.94005994005994,0,50,4k_ref_Light4_4k.yuv
4k_15M_football8_4k.yuv,50.0,0,50,4k_ref_football8_4k.yuv
1080p_1M_football3_4k.yuv,50.0,0,50,4k_ref_football3_4k.yuv
720p_4.6M_Chasing4_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing4_4k.yuv
1080p_9M_football9_4k.yuv,50.0,0,50,4k_ref_football9_4k.yuv
4k_ref_Light3_4k.yuv,59.94005994005994,0,50,4k_ref_Light3_4k.yuv
4k_15M_football2_4k.yuv,50.0,0,50,4k_ref_football2_4k.yuv
4k_ref_OfficeBuilding_4k.yuv,60.0,0,50,4k_ref_OfficeBuilding_4k.yuv
540p_2.2M_golf1_4k.yuv,50.0,0,50,4k_ref_golf1_4k.yuv
720p_2.6M_football9_4k.yuv,50.0,0,50,4k_ref_football9_4k.yuv
4k_3M_football5_4k.yuv,50.0,0,50,4k_ref_football5_4k.yuv
720p_2.6M_football4_4k.yuv,50.0,0,50,4k_ref_football4_4k.yuv
720p_4.6M_Chasing3_4k.yuv,59.94005994005994,0,50,4k_ref_Chasing3_4k.yuv
4k_6M_CenterPanorama_4k.yuv,60.0,0,50,4k_ref_CenterPanorama_4k.yuv
720p_4.6M_football10_4k.yuv,50.0,0,50,4k_ref_football10_4k.yuv
